2024-08-03 02:18:07,137 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-08-03 02:18:07,377 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-08-03 02:18:07,377 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-08-03 02:18:07,392 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-08-03 02:18:07,408 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-08-03 02:18:07,408 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-08-03 02:18:07,408 INFO  SwAddin.cs: 201 - Setting up command manager
2024-08-03 02:18:07,424 INFO  SwAddin.cs: 204 - Adding command manager
2024-08-03 02:18:07,439 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-08-03 02:18:07,451 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-08-03 02:18:07,451 INFO  SwAddin.cs: 210 - Adding event handlers
2024-08-03 02:18:07,471 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-08-03 02:19:51,571 INFO  SwAddin.cs: 294 - Assembly export called for file Assembly
2024-08-03 02:20:01,497 INFO  SwAddin.cs: 294 - Assembly export called for file Assembly
2024-08-03 02:20:12,183 INFO  SwAddin.cs: 294 - Assembly export called for file Assembly
2024-08-03 02:20:15,583 INFO  SwAddin.cs: 313 - Saving assembly
2024-08-03 02:20:15,700 INFO  SwAddin.cs: 316 - Opening property manager
2024-08-03 02:20:15,714 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assembly
2024-08-03 02:20:15,719 INFO  ExportHelperExtension.cs: 1136 - Found 46 in Assembly
2024-08-03 02:20:15,720 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Assembly
2024-08-03 02:20:15,721 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-08-03 02:20:15,722 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2024-08-03 02:20:15,722 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2024-08-03 02:20:15,723 INFO  ExportHelperExtension.cs: 1136 - Found 39 in base-1
2024-08-03 02:20:15,723 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2024-08-03 02:20:15,724 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link1-1
